id,date,vaccines,tests,recovered,deaths,hosp,vent,icu,population,new_confirmed,confirmed
GRC,2020-03-13,0,2700,0,1,0,0,0,10731726,38,38
IRN,2020-03-13,0,0,2959,514,0,0,0,81800269,1365,12590
IRQ,2020-03-13,0,0,24,9,0,0,0,38433600,9,9
ISL,2020-03-13,0,1504,1,0,2,0,0,352721,22,53
ISR,2020-03-13,0,5530,1,0,126,0,0,8882800,26,26
ITA,2020-03-13,0,97488,1439,1266,8754,0,1328,60421760,3497,20928
JPN,2020-03-13,0,12060,135,19,520,0,32,126529100,40,609
KOR,2020-03-13,0,230707,510,66,0,0,0,51606633,107,7982
MYS,2020-03-13,0,14078,33,0,0,0,0,31528585,41,121
NLD,2020-03-13,0,0,0,7,21,0,79,17231624,219,805
NOR,2020-03-13,0,0,1,0,27,0,0,5311916,94,982
PRT,2020-03-13,0,4045,0,0,107,0,0,10283822,57,57
QAT,2020-03-13,0,0,0,0,0,0,0,2781677,17,75
SGP,2020-03-13,0,0,97,0,0,0,0,5638676,12,110
SVN,2020-03-13,0,5060,0,0,21,0,4,2073894,36,84
SWE,2020-03-13,0,0,0,2,16,0,2,10175214,71,848
USA,2020-03-13,0,39760,12,51,0,0,0,326687501,759,2871
AUS,2020-03-14,0,20496,0,4,0,0,0,24982688,48,185
AUT,2020-03-14,0,0,10,2,0,0,0,8840521,198,874
BEL,2020-03-14,0,13143,1,13,0,0,0,11433256,214,1630
BHR,2020-03-14,0,0,44,0,0,0,0,1569439,4,104
BRA,2020-03-14,0,0,0,0,0,0,0,209469333,83,119
CAN,2020-03-14,0,13209,0,2,9,0,2,37057765,56,146
CHE,2020-03-14,0,0,4,20,0,0,0,8513227,326,2579
CHN,2020-03-14,0,0,0,3194,0,0,0,1392730000,27,80923
CZE,2020-03-14,0,4184,0,0,4,0,0,10629928,109,182
DEU,2020-03-14,0,0,6432,82,0,0,0,82905782,980,7388
DNK,2020-03-14,0,5381,1,1,0,0,0,5793636,37,602
DPC,2020-03-14,0,0,325,7,0,0,0,3711,0,571
EGY,2020-03-14,0,0,27,2,0,0,0,98423595,1,1
ESP,2020-03-14,0,0,517,195,0,0,0,46796540,1407,7678
EST,2020-03-14,0,1027,0,0,3,0,0,1321977,56,56
FIN,2020-03-14,0,2545,1,0,0,0,0,5515525,19,89
FRA,2020-03-14,0,0,12,0,0,0,0,66977107,924,5323
GBR,2020-03-14,0,0,18,76,0,0,0,66460344,441,2949
GRC,2020-03-14,0,3400,8,3,0,0,0,10731726,103,141
IND,2020-03-14,0,0,10,2,0,0,0,1352617328,10,10
IRL,2020-03-14,0,0,0,2,38,0,0,4867309,40,40
IRN,2020-03-14,0,0,2959,611,0,0,0,81800269,1209,13799
IRQ,2020-03-14,0,0,26,10,0,0,0,38433600,6,15
ISL,2020-03-14,0,1827,1,0,3,0,0,352721,15,68
ISR,2020-03-14,0,6144,1,0,166,0,0,8882800,39,65
ITA,2020-03-14,0,109170,1966,1441,9890,0,1518,60421760,3590,24518
JPN,2020-03-14,0,12919,144,21,548,0,35,126529100,63,672
KOR,2020-03-14,0,0,510,72,0,0,0,51606633,76,8058
KWT,2020-03-14,0,0,5,0,0,0,0,4137309,8,8
MYS,2020-03-14,0,16576,37,0,0,0,0,31528585,190,311
NLD,2020-03-14,0,0,0,10,27,0,96,17231624,173,978
NOR,2020-03-14,0,0,1,3,35,0,0,5311916,131,1113
PHL,2020-03-14,0,0,2,8,0,0,0,106651922,29,29
POL,2020-03-14,0,0,0,3,0,0,0,37974750,16,16
PRT,2020-03-14,0,5298,1,0,114,0,10,10283822,76,133
QAT,2020-03-14,0,6788,4,0,0,0,0,2781677,64,139
ROU,2020-03-14,0,2929,9,0,0,0,0,19466145,8,8
SAU,2020-03-14,0,25351,1,0,0,0,0,33699947,0,0
SGP,2020-03-14,0,0,105,0,0,0,0,5638676,14,124
SVN,2020-03-14,0,5976,0,1,28,0,3,2073894,35,119
SWE,2020-03-14,0,0,0,3,18,0,6,10175214,69,917
USA,2020-03-14,0,52759,12,58,0,0,0,326687501,234,3105
AUS,2020-03-15,0,22567,0,6,0,0,0,24982688,79,264
AUT,2020-03-15,0,0,14,3,0,0,0,8840521,226,1100
BEL,2020-03-15,0,14412,1,18,263,31,53,11433256,387,2017
BHR,2020-03-15,0,0,60,0,0,0,0,1569439,0,104
BRA,2020-03-15,0,0,0,0,0,0,0,209469333,54,173
CAN,2020-03-15,0,17357,0,2,9,0,2,37057765,75,221
CHE,2020-03-15,0,0,4,28,0,0,0,8513227,1060,3639
CHN,2020-03-15,0,0,0,3204,0,0,0,1392730000,29,80952
CZE,2020-03-15,0,5212,0,0,6,0,0,10629928,85,267
DEU,2020-03-15,0,129291,7397,97,0,0,0,82905782,2037,9425
DNK,2020-03-15,0,6107,1,2,0,0,0,5793636,50,652
DPC,2020-03-15,0,0,325,7,0,0,0,3711,0,571
EGY,2020-03-15,0,0,21,2,0,0,0,98423595,40,41
ESP,2020-03-15,0,0,517,289,0,0,0,46796540,2144,9822
EST,2020-03-15,0,1530,1,0,4,0,0,1321977,34,90
FIN,2020-03-15,0,3189,10,0,0,0,0,5515525,33,122
FRA,2020-03-15,0,0,12,0,0,0,0,66977107,1210,6533
GBR,2020-03-15,0,0,18,108,0,0,0,66460344,603,3552
GRC,2020-03-15,0,4000,8,4,0,0,0,10731726,0,141
IDN,2020-03-15,0,0,8,5,0,0,0,267663435,17,17
IND,2020-03-15,0,0,13,2,0,0,0,1352617328,14,24
IRL,2020-03-15,0,0,0,2,41,0,0,4867309,54,94
IRN,2020-03-15,0,0,4590,724,0,0,0,81800269,1053,14852
IRQ,2020-03-15,0,0,26,10,0,0,0,38433600,8,23
ISL,2020-03-15,0,2902,8,5,3,0,0,352721,9,77
ISR,2020-03-15,0,7327,1,0,205,0,0,8882800,74,139
ITA,2020-03-15,0,124899,2335,1809,11335,0,1672,60421760,3233,27751
JPN,2020-03-15,0,13026,157,22,591,0,36,126529100,32,704
KOR,2020-03-15,0,0,510,75,0,0,0,51606633,74,8132
KWT,2020-03-15,0,0,5,0,0,0,0,4137309,11,19
LBN,2020-03-15,0,0,1,3,0,0,0,6848925,0,0
